year,cpi,goc10,mort5,infl_yoy,real_goc10,real_goc10_pct
1990,79.575,10.85,13.2,NA,0.1085,10.85
1991,83.75,9.76,11.14,0.052466226830034435,0.04513377316996556,4.513377316996555
1992,85.1,8.77,9.52,0.016119402985074638,0.07158059701492536,7.158059701492537
1993,86.76666666666667,7.85,8.7,0.019584802193497897,0.058915197806502104,5.89151978065021
1994,87.35000000000001,8.63,9.52,0.006723011909335552,0.07957698809066445,7.957698809066445
1995,89.30833333333334,8.28,9.22,0.022419385613432485,0.06038061438656751,6.038061438656752
1996,90.775,7.59,7.91,0.01642250629840447,0.059477493701595524,5.947749370159553
1997,92.325,6.43,7.07,0.017075185899201317,0.04722481410079868,4.722481410079868
1998,93.10714285714286,5.45,6.8,0.00847162585586636,0.04602837414413364,4.602837414413364
1999,94.65714285714286,5.69,7.4,0.016647487533563377,0.04025251246643663,4.025251246643663
2000,96.80714285714285,5.89,8.2,0.022713552671294712,0.03618644732870528,3.618644732870528
2001,99.05,5.8,7.4,0.023168302220910597,0.0348316977790894,3.48316977790894
2002,101.35714285714286,5.29,6.85,0.023292709309872484,0.02960729069012752,2.9607290690127517
2003,103.9,4.8,6.1,0.025088090204369307,0.022911909795630694,2.2911909795630696
2004,105.64285714285714,4.58,6.05,0.016774370961088803,0.029025629038911198,2.90256290389112
2005,107.70714285714286,4.07,5.95,0.019540229885057547,0.021159770114942453,2.115977011494245
2006,109.65714285714286,4.21,6.4,0.018104648849393223,0.023995351150606775,2.3995351150606776
2007,111.85714285714286,4.27,7.1,0.020062532569046443,0.022637467430953552,2.2637467430953553
2008,113.98571428571428,3.61,6.9,0.019029374201787963,0.017070625798212037,1.7070625798212038
2009,114.73571428571428,3.3,5.6,0.006579771901240816,0.026420228098759185,2.6420228098759186
2010,116.74285714285715,3.24,5.4,0.01749361887567713,0.014906381124322875,1.4906381124322874
2011,119.79285714285714,2.78,5.2,0.026125795398923124,0.0016742046010768744,0.16742046010768744
2012,121.64285714285714,1.87,5,0.015443324786834411,0.00325667521316559,0.32566752131655896
2013,122.81428571428572,2.26,5.1,0.009630064591896748,0.012969935408103251,1.296993540810325
2014,125.03571428571429,2.23,4.9,0.018087705013376754,0.004212294986623247,0.4212294986623247
2015,126.81428571428572,1.52,4.7,0.014224507283633114,9.754927163668856e-4,0.09754927163668856
2016,128.8,1.25,4.6,0.015658443167736902,-0.003158443167736901,-0.3158443167736901
2017,130.975,1.78,4.7,0.016886645962732816,9.13354037267184e-4,0.0913354037267184
2018,133.81666666666666,2.28,5.1,0.021696252465483346,0.0011037475345166518,0.11037475345166518
2019,134.42000000000002,1.59,5.2,0.0045086561215594845,0.011391343878440516,1.1391343878440516
2020,135.52,0.75,4.9,0.008183306055646433,-6.833060556464335e-4,-0.06833060556464335
2021,139.45,1.39,3.4,0.028999409681227606,-0.015099409681227607,-1.5099409681227607
2022,148.2625,2.79,5.3,0.06319469343850836,-0.035294693438508364,-3.5294693438508364
2023,153.8,3.36,6.4,0.037349296012140876,-0.0037492960121408778,-0.3749296012140878
