year,policy_rate_pct,cpi_infl_yoy_pct,housing_return_pct,equity_return_pct,wage_growth_pct
1998,4.979166666666667,0.9955752212389202,-1.2892253675663712,4.6307938093976375,2
1999,4.666666666666667,1.7524644030668224,3.6554520657815726,4.467007700846537,2.2
2000,5.520833333333333,2.6910656620021456,3.7536257329000344,37.26128883247854,3
2001,4.0625,2.515723270440251,4.62715740644104,-19.72456357368043,2.5
2002,2.4583333333333335,2.249488752556239,10.201819562328819,-9.265813062543604,2.3884417228337007
2003,2.9375,2.8000000000000025,9.676987034398167,0.9024783572796347,2.7059670264464764
2004,2.25,1.8482490272373697,9.231380049590964,20.7469440433375,2.629366648293252
2005,2.6666666666666665,2.1967526265520565,9.889100642743864,17.4875342446698,3.904820442427237
2006,4.0625,1.9626168224299079,11.704153727433674,18.469597086468514,2.4559931140802904
2007,4.354166666666667,2.1998166819431786,10.777809550189321,13.822977651606339,4.288519899275478
2008,2.9583333333333335,2.331838565022415,2.359752949623739,-8.33956252750464,2.876940860647581
2009,0.3958333333333333,0.2629272567922891,-2.8155623272026475,-18.62434772216797,1.5367408129960847
2010,0.6041666666666666,1.8356643356643332,8.458105345357714,18.798224897134563,3.6367155554789976
2011,1,2.9184549356223277,5.647200000000008,7.436525553672868,2.4979368015926706
2012,1,1.5012510425354453,4.666545824214929,-6.704249670577744,2.4882897837306572
2013,1,0.9038619556285932,2.0590125774034407,5.361363864589297,1.7800212787148828
2014,1,1.9543973941368087,5.416995354399035,14.821027582914613,2.650269425919749
2015,0.625,1.1182108626198062,7.8812363473599545,-2.0374510134240964,1.7750119162698308
2016,0.5,1.4218009478673022,15.057991845709306,-2.085304791469522,0.4852329170525582
2017,0.7083333333333334,1.5576323987538832,15.782126191660883,10.741129230793266,2.0155399383734007
2018,1.4375,2.300613496932513,3.4491486464671928,1.1739401292148122,2.5746850814292177
2019,1.75,1.9490254872563728,0.6523362449025738,3.747876972538333,2.7035374764708076
2020,0.5,0.7352941176470562,6.313004395009636,-1.7737796223668667,6.754071889633995
2021,0.25,3.3576642335766405,12.666516259912397,23.58399889419136,2.967815320411682
2022,2.0416666666666665,6.779661016949157,8.887180050532795,1.8256403538262855,3.1084468311201485
2023,4.770833333333333,3.9021164021163957,-6.471958571609459,-0.2872645610234259,3.399659132927435
2024,4.479166666666667,2.4188415022278864,-1.9922044174967568,13.263448349605111,4.5847331422883775
2025,2.6458333333333335,2.050963331261646,-2.737905369484317,20.11016752384629,3.3970539994285787
