period,year0,year1,infl_cum,hp_ratio,hp_ratio_wolff_30y,mean_nw0,median_nw0,gini0,mean_nw_reval,median_nw_reval,gini_reval,mean_nw_reval_hous,median_nw_reval_hous,gini_reval_hous,d_mean,d_gini
1999-2005,1999,2005,0.13786598249320847,1.142301171053441,1.1610492831709052,186551.27288132292,75450,0.697251980713627,234392.84960616363,85222.865996385,0.7263537720395665,249421.7435013531,98364.5641736363,0.7150496332177844,47841.57672484071,0.029101791325939486
2005-2012,2005,2012,0.12938523774786126,1.096919922428242,1.1108712664887208,277122.8611208088,102750,0.722455133977017,307359.60942408495,111018.802175622,0.7276043781682331,324133.14436972403,124376.010225095,0.7202696513234945,30236.748303276137,0.005149244191216096
2012-2016,2012,2016,0.05883734586024669,1.041078089041366,1.0471618461097028,413555.0232521301,163376,0.7099771627497764,429730.7542108204,169577.210804463,0.7109054612551673,441230.16652413545,176335.594562162,0.7070197501397949,16175.730958690343,9.282985053908899e-4
2016-2019,2016,2019,0.04363354037267086,0.9416774949078901,0.9335898922499837,505771.8555224116,191500,0.7139954694642392,470023.91898610716,191454.274068323,0.6992060029107928,449508.18962300185,175909.889796937,0.7044325011016179,-35747.93653630442,-0.014789466553446373
2019-2023,2019,2023,0.14417497396220802,0.8913700848481313,0.8778668160482993,571872.8666262622,222900,0.7091600351766122,613037.7967472594,239805.920327798,0.711757585709136,571260.0299107478,210542.033856011,0.7215623668252551,41164.93012099725,0.0025975505325238624
