year,age_band,n,mean_nw,median_nw,mean_debt_asset
2023,<35,1634,414448.04880244925,118400,0.24986444382839518
2023,35-44,2219,636520.386230589,291025,0.2665029483861958
2023,45-54,2496,933570.2097291141,477650,0.19119416705251044
2023,55-64,3648,1069596.874024354,568850,0.10544875956203591
2023,65+,6244,1004317.7693919321,552005,0.03624425529114917
