year,age_band,n,mean_NIG,mean_inc,mean_nw,mean_LIQ,mean_resources,mean_coh,nig_over_nw,nig_over_inc,nig_over_resources,nig_over_coh,share_w_resources_le0,share_w_coh_le0,share_w_nw_le0
2023,<35,1634,53083.35127082538,100006.746269313,414448.04880244925,50296.2878307126,514454.79507176223,150303.0341000256,0.1280820392910767,0.5307977036656573,0.10318370395093836,0.35317551364597727,0.017308823940422734,7.632888749770873e-4,0.09532919550065148
2023,35-44,2219,101487.21504085265,129436.88043297961,636520.386230589,59239.86145186015,765957.2666635686,188676.74188483978,0.15944063573807893,0.7840672202649471,0.13249722857636767,0.5378893764383323,0.015729451867084278,0.001306734144489641,0.07376502968142125
2023,45-54,2496,149647.11163865132,115488.34101201365,933570.2097291141,98020.52016801447,1049058.5507411277,213508.86118002815,0.16029550866032144,1.2957767886117986,0.14264896037778846,0.7008941493649327,0.011470081971827889,1.5243405198455445e-4,0.05652570393297806
2023,55-64,3648,158477.8457125827,92014.85238888054,1069596.874024354,163186.87828321144,1161611.7264132346,255201.73067209197,0.14816595818601305,1.7223072319108979,0.13642927504005362,0.6209904819031594,0.010749375757916405,0.002682816314762459,0.0496488688973875
2023,65+,6244,136825.34217646223,65997.2391251295,1004317.7693919321,170472.58413370766,1070315.0085170616,236469.82325883716,0.1362371017883151,2.073197969949076,0.1278365164345737,0.5786165029044521,0.004950875472505941,0,0.02108509935146985
