period,year0,year1,gini0,gini_no_hous,gini_ca25y,gini_wolff30y,gini_eq_bus,gini_hous_only,gini_debt_liq,d_gini_no_hous,d_gini_ca25y,d_gini_wolff30y,d_gini_eq_bus,d_gini_hous_only,d_gini_debt_liq
1999-2005,1999,2005,0.697251980713627,0.7263537720395665,0.7150496332177844,0.7137128367968458,0.7340221413224952,0.6852789088576765,0.6871674998794881,0.029101791325939486,0.017797652504157324,0.01646085608321879,0.036770160608868174,-0.011973071855950534,-0.010084480834138931
2005-2012,2005,2012,0.722455133977017,0.7276043781682331,0.7202696513234945,0.7193079399301143,0.735899876640822,0.7141754732094678,0.71285738291153,0.005149244191216096,-0.0021854826535224747,-0.0031471940469026682,0.01344474266380502,-0.008279660767549157,-0.009597751065486992
2012-2016,2012,2016,0.7099771627497764,0.7109054612551673,0.7070197501397949,0.70647121269613955,0.7152059528866894,0.7058286911936283,0.7053844092192266,9.282985053908899e-4,-0.0029574126099815023,-0.0035059500536368526,0.00522879013691302,-0.004148471556148059,-0.004592753530549776
2016-2019,2016,2019,0.7139954694642392,0.6992060029107928,0.7044325011016179,0.7052252244767191,0.7025003384611717,0.7198128311811851,0.7110353383671488,-0.014789466553446373,-0.009562968362621271,-0.008770244987520104,-0.011495131003067538,0.005817361716945912,-0.0029601310970903683
2019-2023,2019,2023,0.7091600351766122,0.711757585709136,0.7215623668252551,0.7229554967090259,0.7204308802996917,0.7206200441592457,0.700247286735421,0.0025975505325238624,0.012402331648642906,0.013795461532413733,0.01127084512307952,0.011460008982633552,-0.008912748441191165
