year,wealth_q,n,mean_nw,mean_inc,mean_IG,mean_IT,mean_NIG,nig_over_inc,mean_ig_stk,mean_ig_bus,mean_ig_bnd,mean_ig_liq,mean_ig_dbt,debt_asset
1999,Q1,2730,-2310.9758001950772,19165.931926214173,201.91731833789163,319.06461281077463,-117.14729447288298,-0.006112267064491393,63.56159425081203,-49.8644835229661,48.97952490024205,-18.052576266894278,157.29325897669793,1.3237797848254018
1999,Q2,3026,21888.33783109019,30808.18059543086,1162.924977128687,512.8788023942042,650.046174734483,0.0210997910999941,363.91867902277573,117.09863250003713,345.34712583006706,-101.8130438142793,438.3735835900865,0.5460833912725762
1999,Q3,3230,77385.02517170805,40296.96176976244,3166.055568426743,670.8431687025999,2495.212399724143,0.06192060865483092,1133.3550932286223,505.9322513600724,934.9390819526728,-256.68338508406924,848.5125269694441,0.39709891326091096
1999,Q4,3100,179131.00607950997,46003.83921259378,8047.694521909297,765.8483397877087,7281.846182121588,0.15828779307897733,3240.2557560965,2134.270362755262,2533.7879936285076,-573.2757043710401,712.6561138000679,0.19288410923141536
1999,Q5,3847,656937.6188632454,60893.036534183026,78946.0175563525,1013.7160665836307,77932.30148976887,1.279822881652825,30627.640723930825,36604.37415661036,12696.911785314358,-1692.079886966971,709.1707774639356,0.060896385150573454
2005,Q1,859,-4847.4782861181575,22867.829859317593,936.1516409066334,446.8426524234488,489.3089884831845,0.021397263819671702,133.63529054928182,346.26536598275004,134.38272214913286,-22.368046815233512,344.23630904070217,1.379619109250706
2005,Q2,964,25710.494426166337,35553.527615228486,2126.337029119286,694.7241028263062,1431.6129262929796,0.04026641017978152,752.3325524347156,286.7148802806605,661.0930015442935,-159.25530430754438,585.4518991671606,0.538177885138174
2005,Q3,1021,105856.01242653315,48005.91511707812,6984.6007397651465,938.0466172302654,6046.554122534881,0.12595435599526394,2440.091562742514,1318.4100600246973,2232.739489280497,-386.3523873906646,1379.7120151081028,0.40012960004343345
2005,Q4,951,249459.60404286857,57885.30567939801,18461.329292120452,1131.092179942264,17330.23711217819,0.29938923028519493,7366.376475734478,5516.095985433205,4926.190716207199,-818.1466955005068,1470.8128102460782,0.23179523460780924
2005,Q5,1472,1009870.2437734894,81886.56999783438,189132.7494500543,1600.0824022565394,187532.6670477978,2.290151694627793,62398.41785875656,98699.34284414648,29348.218054401288,-2756.1724725304025,1442.943165280405,0.06814036870320013
2012,Q1,1645,-7260.477274596294,29353.44278532133,621.973822324581,453.3147505454786,168.65907177910233,0.0057458020516572275,171.46271126510698,39.92976672688106,100.90849292732572,-31.421283596809623,341.09413500207677,1.4897007346819646
2012,Q2,2133,35997.32940482843,43596.605077537184,2970.9202201811595,673.2765318157609,2297.6436883653987,0.05270235341212938,990.4851025493606,376.49338979966757,838.2539134030206,-178.50909020648038,944.1969046355911,0.6294161992671946
2012,Q3,2528,165635.93482261582,60688.99786580167,9888.687311203603,937.2399050290755,8951.447406174528,0.14749703769978842,4012.267255584606,1525.3827954120898,3021.029657822907,-494.38620828805665,1824.3938106720555,0.4163036392892686
2012,Q4,2581,392945.5017597166,72373.44372871821,25025.43481754663,1117.6865974442792,23907.748220102352,0.3303386848595629,12305.46157670798,4830.5103318261645,7437.3721038178255,-1140.602295834728,1592.6931010293904,0.20789412123580336
2012,Q5,3116,1481273.3367908162,108157.34102787692,287186.0056740917,1670.308945573914,285515.69672851777,2.63981800971723,114529.45023403528,128511.21174663652,45122.4174195368,-2953.4291383147292,1976.3554121978248,0.0795245544440083
2016,Q1,1910,-5743.009029273892,31790.338365802167,640.9073329166197,497.7872065840391,143.1201263325806,0.004502000723796614,177.2401092388763,10.842150365994739,151.77744359728524,-36.93884887637461,337.98647859083803,1.3625196220251319
2016,Q2,2178,42351.871170367056,50606.81179250184,3653.3847410382505,792.4238863532474,2860.960854685003,0.05653311784222885,1303.2718691081348,616.0812145013443,947.7756281298916,-223.9571068848334,1010.2131361837137,0.6036970939299527
2016,Q3,2512,194379.8638962498,67736.91471760768,10798.616884692512,1060.6546294635011,9737.962255229011,0.1437615264265602,4209.28411212027,2054.974554088714,3054.586857634068,-650.8464601652454,2130.6178210147054,0.4117689786679042
2016,Q4,2576,473488.07158898574,79908.94814438962,30775.31509998756,1251.2497231125599,29524.065376875,0.3694713303387147,14293.113186146848,6676.972188644515,9109.257586776292,-1467.1214144006385,2163.0935528205464,0.22585914020243916
2016,Q5,3253,1824605.7549994874,117304.15412954862,337889.910998307,1836.8004307769868,336053.11056753004,2.8648014476656893,140271.12352479566,144421.4430380274,54047.42337832066,-3648.373314504398,2798.2943716676286,0.08920635043802978
2019,Q1,1662,-7327.268988996271,39624.300291546126,103.74837362789279,178.65234407199054,-74.90397044409778,-0.001890354401036038,134.72039095987037,-270.14290635196505,117.36772948871574,-16.81433442041722,138.61749395168889,1.3128974364345098
2019,Q2,1771,57258.347440982325,56816.66161943369,2290.403240899637,256.1667892170333,2034.2364516826035,0.03580351949060677,1036.9177376137814,311.2692301573159,729.5216035891829,-97.00879553114592,309.70346507050266,0.5453854078016743
2019,Q3,2039,225549.41529232715,72039.86970867797,7582.844013255288,324.8029995583783,7258.04101369691,0.10075033509982323,3377.5310172547343,1379.8878273296052,2400.539133621452,-205.51296164924557,630.3989966987423,0.3826806947981277
2019,Q4,2110,533036.1256198167,85893.19188776953,20687.57254490907,387.2628654050752,20300.309679503996,0.2363436406697862,9313.082874209003,5382.833883339135,5794.7464122659,-450.21619957435496,647.1255746693881,0.21214434673479435
2019,Q5,2840,2051559.1936684789,116694.3014302028,214731.53843167052,526.134476494391,214205.40395517615,1.8356115194133682,83885.79168709344,95921.35379590842,35379.6122492793,-1232.023200069297,776.8038994586573,0.07747447196667168
2023,Q1,1989,-2381.1313985619395,71880.83272658159,2452.16116584629,2684.698499104278,-232.5373332579885,-0.003235039501316128,703.7871083041689,102.87535843575206,503.8930341378842,-249.33862439258743,1390.9442893610724,1.0683048003432223
2023,Q2,2541,116637.85944125669,88186.63158070487,9195.322499756123,3293.7086072213565,5901.613892534766,0.06692186544322022,3254.811304712844,1770.9960141975846,2101.339571374474,-1368.1298200208514,3436.305429492071,0.44096765415168
2023,Q3,3113,389029.7878985281,83942.82898146665,25133.429563103997,3135.205567725315,21998.22399537868,0.262061980306091,10877.13115777568,4613.439247843212,6610.512474104628,-2677.9498264557456,5710.296509836219,0.2821252985820291
2023,Q4,3583,840494.3850525786,95275.82037820322,60664.23574814944,3558.4848181050747,57105.75093004437,0.5993729647602045,31848.702537405323,11493.998673329803,16619.968157170428,-5334.0729697065635,6035.6393499504475,0.16126210043992315
2023,Q5,5015,2779128.260972301,145378.7280792427,522469.62078951596,5429.79314890017,517039.82764061575,3.556502622301035,225144.1442141754,220541.3693438933,79200.52887462686,-11663.264818909634,9246.843175730013,0.08179765940471344
