year,inc_q,n,w_sum,mean_tc001,median_tc001,mean_hhtotinc,median_hhtotinc,mean_cy_ratio,mean_share_necessities,mean_share_shelter,mean_share_discretionary,mean_share_food,mean_share_health,mean_share_clothing,mean_share_transport,mean_shelter_over_inc,mean_mortpay_over_inc,mean_cy_ratio_at
2017,Q1,671,2893165.2437,32946.841930631344,25794.27,21376.717184484474,22800,2.5023422893210636,0.5754523129196504,0.3751943802724535,0.4245476870803496,0.15910226790344578,0.04115566474375115,0.040112895385279866,0.1279913276531846,0.827463211293816,0.944279691216902,2.5369339259952723
2017,Q2,787,2894777.3561,46622.676395050745,40565.94,44393.8997136955,44400,1.0685478768777763,0.5268140268455624,0.3231442080453721,0.47318597315443767,0.15066231140969746,0.05300750739049284,0.047383197067165685,0.16910721369095028,0.33297469246934636,0.2420508739348362,1.1523833184238
2017,Q3,850,2903975.3913,60609.48742468417,54722.05,70191.6410537938,70650,0.86873720669304,0.4970802400506362,0.2963557798033901,0.5029197599493639,0.150483197598566,0.05024126264868008,0.05092902479581558,0.18249417043983046,0.2523684358336554,0.1824539703016249,0.9789534859218185
2017,Q4,861,2882098.8034,72326.35713559664,66734.53,104447.43766427047,102350,0.6973314252076972,0.48248493311690266,0.29086500384775343,0.5175150668830973,0.1447064618426633,0.046913467426485896,0.05158805633111994,0.1942725031757447,0.19833971114871668,0.14926908437539932,0.8227247267019201
2017,Q5,843,2890242.0377,102802.19540343148,97235.18,183581.95327837698,170650,0.5761013832334471,0.43841218347422806,0.26992747404969986,0.5615878165257718,0.13156158285593741,0.036923126568590814,0.05470946636174138,0.20947217957205277,0.1530209312984194,0.114498601154617,0.7258473934401181
2019,Q1,1442,3045945.2,35471.07227359776,27848.28,22046.74817969476,23000,10.967644077748817,0.5818354560729042,0.3691613530533529,0.41816454392709573,0.16760679642200133,0.04506730659754993,0.03874036102643626,0.1280627411687593,2.4693675511469033,2.1961671365362188,11.004064721904024
2019,Q2,1641,2877546.8656,49658.85554673983,41857.12,48934.98860651536,49000,1.0232475643710428,0.5413776579734073,0.3151951840634109,0.45862234202659263,0.17156389206568617,0.05461858184431026,0.0404764669589752,0.15069637362009802,0.30739881640045486,0.25072120081576377,1.1092212217570319
2019,Q3,1593,2933060.5242,64385.49894929372,59454.3,77151.41274347591,76065,0.840422357074993,0.5104025707172074,0.30240697364807895,0.48959742928279254,0.16185087907297227,0.04614471799615629,0.04543382786741596,0.17519784493516874,0.24152824671031575,0.18062499568761659,0.9581718025708624
2019,Q4,1686,2979658.7302,81817.09562393885,75578.69,115445.81000194301,115000,0.7126457729675182,0.49198559687641874,0.28839436347800146,0.5080144031235813,0.1622860955405841,0.041305137857833185,0.04906799929591135,0.17990970078043683,0.19773715077955897,0.1346830019736807,0.8440122103208897
2019,Q5,1568,2893288.87,111437.94222670069,103540.7,204186.97656872746,182500,0.5621716648114534,0.4778618974076094,0.2905961960157794,0.5221381025923906,0.14855805636884004,0.03870764502298993,0.047379455362683676,0.18377472877867448,0.15749158014610382,0.10895181098046336,0.7123201460684865
2023,Q1,828,3131586.9948,41692.0606584403,34507.08,27178.408157879665,27698,3.3117733221645684,0.5857598195295582,0.36358778780994117,0.41424018047044175,0.17772676975866616,0.044445261960950846,0.028749296221253197,0.12030261679178215,1.2709783237761945,2.101666582612543,2.9886139487894963
2023,Q2,1082,3132845.9361,58188.210237728206,50223.05,56884.578234274864,56774,1.0331716789408292,0.5543590747709056,0.3290605323460916,0.44564092522909426,0.17578054320885628,0.04951799921595778,0.03378809264101547,0.14158047964718098,0.3289997654912011,0.2900910249115898,1.1151404192403198
2023,Q3,1208,3131902.9639,71585.56419055683,66245.62,89650.74317202972,89422,0.8028385824619362,0.5285467714919588,0.3168445751487457,0.4714532285080412,0.16316613668053398,0.048536059662679154,0.0332924953815188,0.1487042632073534,0.24989847144117794,0.1918933970626662,0.9096770708755715
2023,Q4,1205,3126257.2108,89661.39552184488,82971.22,135116.58072539815,135406,0.6679551682981266,0.5163056865664143,0.31144270244544314,0.48369431343358577,0.1592657339208583,0.045597250200112814,0.03419088690504835,0.16040317282675257,0.2084006708477396,0.1532943039025546,0.7890320909167987
2023,Q5,1162,3126873.2358,118828.63114168328,110450.95,242068.78876788297,222896,0.5083863961558854,0.5108076253013805,0.31392722244871857,0.48919237469861954,0.15837243223234468,0.03850797062031724,0.034107127509271834,0.15859316677928123,0.15717897522845362,0.11137307330562438,0.6387811729061391
