year,inc_q,tenure,n,w_sum,mean_tc001,median_tc001,mean_hhtotinc,median_hhtotinc,mean_cy_ratio,mean_share_necessities,mean_share_shelter,mean_share_discretionary,mean_share_food,mean_share_health,mean_share_clothing,mean_share_transport,mean_shelter_over_inc,mean_mortpay_over_inc,mean_cy_ratio_at
2017,Q1,owner_mortgage,82,349894.5363,50172.914834088384,39921.67,22587.057570117024,24500,4.212657436323761,0.6230263422117177,0.45874896528226206,0.37697365778828223,0.12894439161748175,0.03533298531197392,0.02282531839940319,0.13776748803272998,1.7875537182115202,0.944279691216902,4.299436495250688
2017,Q1,owner_free_clear,201,540114.4102,31512.600100580938,23433.96,23328.379529999624,23700,1.6766376331494885,0.5147122715329849,0.2885461069522488,0.4852877284670151,0.1633239173053929,0.06284224727534314,0.028324950085182946,0.14846728671231169,0.451949189579198,NA,1.7239203840295247
2017,Q1,renter,388,2003156.2972,30324.65307894495,23143.07,20639.075071026364,21000,2.426234927088285,0.5835199203912198,0.38396288639751053,0.41648007960878025,0.16323170227340916,0.03632533172030006,0.04631094786566301,0.1207627426079062,0.7610131352064724,NA,2.4482889761518956
2017,Q2,owner_mortgage,173,656324.3177,55044.84213490951,48815.82,45709.12834272391,46900,1.2385727642518878,0.5615422213409907,0.39730750148408805,0.43845777865900926,0.12196096472567887,0.04227375513122378,0.04262737747052431,0.17348061947279916,0.46294196518083897,0.2420508739348362,1.3397864788443288
2017,Q2,owner_free_clear,326,971424.3731,43369.17570314946,36651.92,44854.843631900534,44400,0.9735787979803083,0.48403206594158654,0.25466980136817996,0.5159679340584136,0.1650946013152379,0.06426766325816867,0.03613303128288822,0.19591715284553202,0.24169026540112812,NA,1.0563999849522285
2017,Q2,renter,288,1267028.6653,44754.41376012606,40565.94,43359.20434708929,42900,1.0532868249414358,0.5416254368064609,0.3372263950580952,0.4583745631935391,0.15446452499610588,0.04993451675225989,0.05847216899094299,0.14628673480696244,0.33563859096294285,NA,1.1288978972434414
2017,Q3,owner_mortgage,313,1212341.6553,69060.62672202261,63128.06,71475.88574552009,71900,0.9749714412363577,0.5317931894032379,0.3634558458902222,0.46820681059676206,0.13135041355729002,0.03698692995572583,0.0454393260827706,0.1732311860119113,0.34761570884229626,0.1824539703016249,1.1031377242399591
2017,Q3,owner_free_clear,305,791290.4112,52335.465542235084,46607.6,69641.37536357903,70000,0.7535254413559865,0.4408177218131058,0.20108611852755506,0.5591822781868943,0.17155654841862142,0.06817505486692932,0.054453769848219986,0.19048414875593728,0.14367128049376948,NA,0.8546778821385204
2017,Q3,renter,232,900343.3248,56501.59444054191,50957.53,68945.97915992957,67500,0.8269462347929621,0.49978591536997696,0.2897335995968189,0.500214084630023,0.15772524678106292,0.05232706899209516,0.05522326828769446,0.18794487853301314,0.21964622968692524,NA,0.9209582412338334
2017,Q4,owner_mortgage,443,1535193.5126,79210.32788175115,75286.19,105011.00195997044,102425,0.7609005139265611,0.5092299009212516,0.34247483521196437,0.4907700990787483,0.12906323475282042,0.03769183095646687,0.04971301179590805,0.18949471572633958,0.24995372439168878,0.14926908437539932,0.8932741240698835
2017,Q4,owner_free_clear,284,818795.2775,58505.1383473544,51688.79,103975.34200003065,102575,0.5678692410579923,0.4470034855655303,0.20880060928623442,0.5529965144344697,0.1703801178432847,0.06782275843601118,0.053371908775773254,0.2004566692710894,0.1165713363630723,NA,0.6693773114406159
2017,Q4,renter,134,528110.0133,73743.71606428876,70113.52,103541.12924702805,99925,0.7132602509857867,0.4597497850007388,0.2680721400964458,0.5402502149992612,0.15037556937629834,0.04130207552799463,0.054273001159175965,0.19857324022970088,0.17507573421755718,NA,0.8553943634085615
