period,year0,year1,mean_nw0,median_nw0,mean_nw1_actual,median_nw1_actual,actual_d_mean,actual_d_median,actual_mean_growth,actual_median_growth,d_mean,d_median,d_mean_hous,d_median_hous,d_mean_wolff,d_median_wolff,reval_mean_growth_no_hous,reval_median_growth_no_hous,reval_mean_growth_hous,reval_median_growth_hous,reval_mean_growth_wolff,reval_median_growth_wolff,pct_advance_mean_no_hous,pct_advance_median_no_hous,pct_advance_mean_hous,pct_advance_median_hous,pct_advance_mean_wolff,flag_small_actual_mean,flag_small_actual_median
1999-2005,1999,2005,186551.27288132292,75450,277122.8611208088,102750,90571.58823948589,27300,0.4855050670016292,0.36182902584493043,47841.57672484071,9772.865996384993,62870.47062003019,22914.564173636303,64850.520296801114,24417.372918004505,0.25645269520769104,0.12952771366978122,0.3370144285213539,0.3037052905717204,0.3476283988587772,0.32362323284300204,0.5282183701840345,0.3579804394280217,0.6941522373858623,0.8393613250416229,0.7160139460658002,FALSE,FALSE
2005-2012,2005,2012,277122.8611208088,102750,413555.0232521301,163376,136432.16213132127,60626,0.4923165183107903,0.5900340632603406,30236.748303276137,8268.802175621997,47010.28324891522,21626.010225095,49424.78535822447,23444.294986902998,0.10910954145387068,0.0804749603466861,0.169636972780898,0.21047211897902676,0.17834972242394054,0.22816832104041848,0.22162478282922826,0.13639036346818192,0.3445689235919753,0.35671181052840367,0.36226637902763126,FALSE,FALSE
2012-2016,2012,2016,413555.0232521301,163376,505771.8555224116,191500,92216.8322702815,28124,0.22298564177773297,0.17214278719028497,16175.730958690343,6201.210804462986,27675.14327200537,12959.594562162005,29378.232012876426,14808.066603695013,0.0391138543826333,0.037956681547246754,0.06692009942080379,0.07932373520077615,0.07103826664188659,0.09063795541386135,0.1754097441916063,0.22049533510393207,0.30010945497337554,0.46080196850241806,0.31857776166904916,FALSE,FALSE
2016-2019,2016,2019,505771.8555224116,191500,571872.8666262622,222900,66101.01110385061,31400,0.1306933361002757,0.1639686684073107,-35747.93653630442,-45.725931677006884,-56263.66589940974,-15590.110203062999,-59108.58943388233,-17722.496896711993,-0.07067996399163094,-2.3877771110708556e-4,-0.11124317275680556,-0.08141049714393211,-0.11686808743604186,-0.09254567570084592,-0.5408077114000753,-0.00145623986232506,-0.8511770842811236,-0.4965003249383121,-0.8942161163165482,FALSE,FALSE
2019-2023,2019,2023,571872.8666262622,222900,824304.00270461,382040,252431.1360783478,159140,0.44141128353851394,0.71395244504262,41164.93012099725,16905.920327797998,-612.8367155144224,-12357.966143989004,-5806.032481721602,-15502.00201171299,0.07198265999897471,0.07584531326961866,-0.0010716310412309375,-0.05544175030950652,-0.010152662979053413,-0.06954689103505154,0.16307390110632297,0.10623300444764357,-0.002427738214212269,-0.07765468231738723,-0.02300046092538904,FALSE,FALSE
1999-2023 (sum),1999,2023,186551.27288132292,75450,824304.00270461,382040,637752.7298232871,306590,NA,NA,99671.04957150001,41103.07337259097,80679.39452602662,29552.092613841305,78738.91575229808,29445.235600177533,NA,NA,NA,NA,NA,NA,0.15628478705080187,0.13406527731690845,0.12650576117233056,0.09638961679716007,0.12346307913745128,FALSE,FALSE
