cut,year,cell,tenure,region,age_band_sfs,shs_share_necessities,shs_share_shelter,shs_cy_ratio,sfs_nig_over_inc,sfs_debt_asset
tenure,2019,owner_mortgage,owner_mortgage,NA,NA,0.5274650278515557,0.34600389039191654,2.0139968560478048,0.42350723773294774,0.3240635172937355
tenure,2019,owner_free_clear,owner_free_clear,NA,NA,0.46840028855988747,0.23140269144846168,1.0528903096739357,1.2875347907723254,0.02902221629464672
tenure,2019,renter,renter,NA,NA,0.559755258853153,0.34747513108471817,5.51804681754262,0.28193652958190785,0.13895796324115797
tenure,2023,owner_mortgage,owner_mortgage,NA,NA,0.5640787579935492,0.3818844546937202,1.2527924774677632,1.1231550784853268,0.27112153568422886
tenure,2023,owner_free_clear,owner_free_clear,NA,NA,0.48533303025147795,0.24226211133305262,0.9614102914497846,2.220365276200547,0.02481727043649827
tenure,2023,renter,renter,NA,NA,0.5601128775503653,0.3425324770353686,1.5527845030377727,0.4744905395078152,0.1011938994300424
age,2019,35-44,NA,NA,35-44,0.5244128391359383,0.3338255918145879,1.2448706652053043,0.4085989733386632,0.3156984487623187
age,2019,45-54,NA,NA,45-54,0.5083043430120526,0.3143248789151035,3.2723214991770377,0.6979527802305165,0.2019031594818103
age,2019,55-64,NA,NA,55-64,0.503290246879774,0.2909254983347977,1.172037236998607,0.7741497638194463,0.10535667281702912
age,2019,65+,NA,NA,65+,0.5592750800957073,0.31189862269423985,1.214636622751918,1.1003839934780355,0.03823112912981016
age,2019,<35,NA,NA,<35,0.486917577188174,0.32676272755841057,13.337611231464653,0.268567136447872,0.3539720561472272
age,2023,35-44,NA,NA,35-44,0.5564646261999654,0.36483709320856167,1.268908753625722,0.7840672202649471,0.2665029483861958
age,2023,45-54,NA,NA,45-54,0.5238462650711014,0.31973485562556625,1.7313487448216043,1.2957767886117986,0.19119416705251044
age,2023,55-64,NA,NA,55-64,0.5183420681304975,0.2977549819596115,1.053390505941013,1.722307231910898,0.10544875956203592
age,2023,65+,NA,NA,65+,0.5613433507415961,0.3232603718737419,0.8979064326667315,2.073197969949076,0.03624425529114917
age,2023,<35,NA,NA,<35,0.5287549427829638,0.3543174597663826,1.515914011523839,0.5307977036656573,0.2498644438283952
region,2019,BC,NA,BC,NA,0.5156220469422211,0.3142880269403537,3.409326409606932,0.6420487408938438,0.16261022893851698
region,2019,ON+QC+MB,NA,ON+QC+MB,NA,0.5278977703417107,0.31841044812056635,3.028546181364395,0.633750568937068,0.1570291309016731
region,2019,AB+SK,NA,AB+SK,NA,0.5079264187018654,0.3084318549296934,2.478248776492078,0.8694763774032752,0.1809860898177924
region,2019,Atlantic,NA,Atlantic,NA,0.4940449901127819,0.27640187118623666,1.411584108809692,0.36208215837484536,0.1797627742267253
region,2023,BC,NA,BC,NA,0.5517700308095848,0.34967364386088345,1.7097425354197713,1.3474401357722121,0.1343437544569028
region,2023,ON+QC+MB,NA,ON+QC+MB,NA,0.539687730078298,0.32788536228876664,1.212814988317331,1.3769978318448861,0.1432052794004685
region,2023,AB+SK,NA,AB+SK,NA,0.5382162148997542,0.32269354255605803,1.054324912468685,1.146039191915549,0.15669455579883076
region,2023,Atlantic,NA,Atlantic,NA,0.5117375741669434,0.2816241477872264,1.2839008153352112,0.38093567048215854,0.15378466639683855
