province,period,year0,year1,n,infl_cum,mean_nw0,mean_inc,mean_IG,mean_IT,mean_NIG,nig_over_inc,debt_asset
ON,2016-2019,2016,2019,3239,0.04363354037267086,567748.5026562315,72650.62561781293,-38355.769279108936,3170.004005994636,-41525.77328510357,-0.5715817714159095,0.17342863682048165
PE,2016-2019,2016,2019,326,0.04363354037267086,326205.6706143429,58408.17130679632,-29886.74475422461,2548.555300808973,-32435.300055033582,-0.5553212731941745,0.1442197688899036
QC,2016-2019,2016,2019,2276,0.04363354037267086,342461.1441881334,58700.71765678843,-27192.321303285986,2561.320133782231,-29753.641437068218,-0.506870147840984,0.18034053044864473
SK,2016-2019,2016,2019,787,0.04363354037267086,488229.25678219844,73557.4469608704,-53054.407346447915,3209.571831677734,-56263.97917812566,-0.7648984773500341,0.1514338325042936
AB,2019-2023,2019,2023,1626,0.14417497396220802,638003.8884097667,89323.12550011543,66123.63879391906,12878.159293202181,53245.47950071688,0.5960996013361407,0.18898094497959814
BC,2019-2023,2019,2023,1293,0.14417497396220802,734727.7416358462,72711.13673780893,41024.928365139924,10483.12624593615,30541.802119203778,0.42004297401284335,0.16261022893851698
MB,2019-2023,2019,2023,530,0.14417497396220802,441227.557528159,70264.90147893131,36747.37263280606,10130.440341182033,26616.932291624027,0.37880836280123475,0.16977176688283854
NB,2019-2023,2019,2023,405,0.14417497396220802,209306.44560899812,61179.857459191604,9063.015970923048,8820.604356190548,242.41161473250085,0.003962278187624008,0.20823385746690956
NL,2019-2023,2019,2023,380,0.14417497396220802,288664.4844625659,68263.19988085686,20119.57256101989,9841.845065399539,10277.727495620355,0.15056029476436178,0.19998404117916715
NS,2019-2023,2019,2023,501,0.14417497396220802,336011.4265488047,62665.75091599972,21250.196341954288,9034.833006636472,12215.363335317812,0.1949288591736799,0.1601581875820654
ON,2019-2023,2019,2023,2698,0.14417497396220802,680271.1545274078,77969.89333345524,43488.823467218725,11241.307341187046,32247.516126031675,0.4135893323352149,0.15343497659620572
PE,2019-2023,2019,2023,336,0.14417497396220802,338776.3180443426,61259.84640824294,28921.30760868786,8832.136760837288,20089.17084785057,0.3279337449521818,0.14828887384001768
QC,2019-2023,2019,2023,2003,0.14417497396220802,374606.1507302125,65856.75879904635,30028.496592385956,9494.896485087922,20533.600107298036,0.31179184159296003,0.16499078665358385
SK,2019-2023,2019,2023,650,0.14417497396220802,598799.8598457301,76124.92085092328,72079.1593454683,10975.308481557011,61103.85086391129,0.8026786784261095,0.1478269215960435
