year,province,n,w_sum,mean_nw,median_nw,mean_inc,mean_STK,mean_BND,mean_LIQ,mean_BUS,mean_HOUS,mean_DBT,debt_asset,mean_IG,mean_IT,mean_NIG,nig_over_inc
1999,AB,1981,1157221,211284.28504754062,88050,42414.26584982471,27223.23746232896,11934.8538921744,31723.133958552655,49864.92111619129,110700.33368907063,38792.932803673626,0.15512381790313198,26163.555377702152,706.0909619801994,25457.464415721955,0.600209950724095
1999,BC,2378,1685566,224999.1415186353,85100,39034.024534192074,29672.70050580029,13005.340423814449,30043.973879654073,28211.282400689146,151642.2115734418,48696.28518847675,0.1779214427305276,21050.92055942298,649.8184368177692,20401.10212260521,0.5226492109399262
1999,MB,1246,446062,152376.45201563908,74500,37252.92602373661,19660.52325768567,13209.357859776424,31326.228737221787,23266.831749846435,68659.33572238836,21233.648192403747,0.1223065257548884,16256.153093900686,620.1676215689135,15635.985472331771,0.4197250294478593
1999,NB,800,300211,120438.42389519371,60850,33567.91675854649,10228.544031420708,5546.876585397943,20769.44345545052,21539.111581520996,65541.2972875744,18978.237935985024,0.13612603893045433,10887.460534641632,558.8214757655957,10328.639058876037,0.3076937759697684
1999,NL,724,198588,87738.17106773824,49325,32945.643724696354,11851.601044876443,4611.3012091304945,14179.897179997133,6412.079466030173,55729.13763671521,18811.714252623522,0.17655311590493653,6769.743846584273,548.4621931921029,6221.2816533921705,0.1888347274492209
1999,NS,989,376204,120707.65576921032,64450,34045.21435710412,18164.942726374673,7433.427166259191,20429.156425533936,12018.235558367269,66189.80327162922,22515.179649870814,0.1572038396250825,11040.385574629137,566.7672815873836,10473.618293041754,0.3076384887221676
1999,ON,3753,4480407,210715.64435864866,95000,43970.230044725846,28506.250638324513,13388.801733582375,37862.33474091568,20853.18720241264,130443.43629585438,39869.13984622379,0.1591043924423906,18391.941410012143,731.9938565174871,17659.947553494654,0.40163418602839296
1999,PE,339,54222,163333.72256648593,74700,34845.84729445612,17046.555234274503,9946.7690499857,22748.154174667907,42063.87720851315,73396.56596953266,21142.061617055806,0.11460616205333915,20177.636951879744,580.0958084309111,19597.541143448834,0.5624067906239935
1999,QC,2637,3115443,147493.0043438445,56450,34607.36095284041,18109.36080903904,8118.999600189444,27319.64135263973,26934.552974007227,76385.31502582457,24930.206359737604,0.14458729922734048,15514.333295547021,576.1256100319385,14938.207685515084,0.43164827580674064
1999,SK,1086,401694,188378.86510378547,89530,34915.84009469895,20220.605845130627,13478.336700932266,33777.467442634974,51310.097686298526,73114.34700045308,21849.078226211994,0.10393041895441664,24672.89746511908,581.2610127003928,24091.636452418687,0.6899916022950388
2012,AB,1536,1584341.5059,499591.11221067555,204350,76968.28207660699,70577.39928556807,25234.59598592407,69169.22755770308,81301.8095615318,344520.51984629856,116522.04211418325,0.18912441861733814,89288.18731127842,1188.6461783937275,88099.54113288471,1.1446213785205535
