period,wealth_q,year0,year1,n,infl_cum,mean_IG,mean_IT,mean_NIG,mean_inc,nig_over_inc,mean_d_stk,mean_d_bus,mean_d_bnd,mean_d_liq,mean_d_dbt,mean_nw0,T_years,nig_over_inc_ann,nig_over_inc_ann_method,mean_NIG_ann,mean_IG_ann,mean_IT_ann,span_type
2012-2016,Q1,2012,2016,1645,0.05883734586024669,1243.6198504555568,1727.078665348914,-483.4588148933574,29353.44278532133,-0.01647025932968649,43.77924739009608,10.195191262677149,9.82636939078307,-119.711587749191,1299.5306301611915,-7260.477274596294,4,-0.004143243481057879,geometric,-120.86470372333935,310.9049626138892,431.7696663372285,inter_wave
2012-2016,Q2,2012,2016,2133,0.05883734586024669,3347.8415686077133,2565.108531279642,782.7330373280706,43596.605077537184,0.01795399059022987,252.89867412435785,96.1293399081446,81.62833828367495,-680.0997340048547,3597.2849502963904,35997.32940482843,4,0.004458590374133653,geometric,195.68325933201766,836.9603921519283,641.2771328199105,inter_wave
2012-2016,Q3,2012,2016,2528,0.05883734586024669,6775.2832213400225,3570.779557341946,3204.5036639980763,60688.99786580167,0.05280205270622565,1024.444554045532,389.47308293574207,294.1848847119196,-1883.556340819723,6950.737040466552,165635.93482261582,4,0.012946902534983318,geometric,801.1259159995191,1693.8208053350056,892.6948893354866,inter_wave
2012-2016,Q4,2012,2016,2581,0.05883734586024669,6821.954580128761,4258.261339763695,2563.6932403650667,72373.44372871821,0.03542312080622713,3141.9300595513905,1233.3649997547227,724.2439508184239,-4345.567596054916,6067.98316605914,392945.5017597166,4,0.008740516064930093,geometric,640.9233100912667,1705.4886450321903,1064.5653349409238,inter_wave
2012-2016,Q5,2012,2016,3116,0.05883734586024669,62726.54364659623,6363.690881381843,56362.852765214375,108157.34102787692,0.5211190681054851,29242.58632242852,32812.522850861686,4393.976448432367,-11252.23577716221,7529.69380203586,1481273.3367908162,4,0.11055686893451999,geometric,14090.713191303594,15681.635911649057,1590.9227203454607,inter_wave
2016-2019,Q1,2016,2019,1910,0.04363354037267086,721.8215494903842,1387.125012545096,-665.303463054712,31790.338365802167,-0.02092785095267809,-102.63903862554712,-6.278645928272953,-8.15475845105414,-102.93314197979922,941.8271344750576,-5743.009029273892,3,-0.0070251880121734445,geometric,-221.76782101823733,240.6071831634614,462.37500418169867,inter_wave
2016-2019,Q2,2016,2019,2178,0.04363354037267086,1028.5549640525026,2208.1543654802845,-1179.599401427782,50606.81179250184,-0.02330910325401208,-754.7195287083367,-356.7701681251704,-50.92246337804059,-624.0749070853053,2815.0420313493555,42351.871170367056,3,-0.007830863437679025,geometric,-393.1998004759273,342.8516546841675,736.0514551600949,inter_wave
2016-2019,Q3,2016,2019,2512,0.04363354037267086,331.7794653844593,2955.6014030508977,-2623.8219376664388,67736.91471760768,-0.03873548047774305,-2437.5795999286725,-1190.0275481514095,-164.11804943732673,-1813.637217430639,5937.141880332507,194379.8638962498,3,-0.013082225122616142,geometric,-874.6073125554796,110.5931551281531,985.2004676836326,inter_wave
2016-2019,Q4,2016,2019,2576,0.04363354037267086,-10693.734755940222,3486.7103149958866,-14180.44507093611,79908.94814438962,-0.1774575363614233,-8277.084699914307,-3866.607898826938,-489.4257903413633,-4088.2545461965215,6027.6381793389055,473488.07158898574,3,-0.06304346951999606,geometric,-4726.81502364537,-3564.578251980074,1162.2367716652955,inter_wave
2016-2019,Q5,2016,2019,3253,0.04363354037267086,-170137.0232894732,5118.395545093665,-175255.41883456687,117304.15412954862,-1.494025681656746,-81230.44680652034,-83633.88024298269,-2903.881315338908,-10166.492454435396,7797.677529804135,1824605.7549994872,3,-0.4980085605522487,arithmetic_fallback,-58418.472944855625,-56712.341096491065,1706.1318483645548,inter_wave
2019-2023,Q1,2019,2023,1662,0.14417497396220802,3694.266772432546,5712.832462804376,-2018.565690371829,39624.300291546126,-0.05094262045057466,142.24543564243154,-285.23221411370537,-57.69139066375153,-537.6782264816002,4432.623168049171,-7327.268988996271,4,-0.012986443667756364,geometric,-504.64142259295727,923.5666931081365,1428.208115701094,inter_wave
2019-2023,Q2,2019,2023,1771,0.14417497396220802,7866.317003586086,8191.540709601436,-325.22370601535056,56816.66161943369,-0.0057240903767586,1094.836603882572,328.65572115954234,-358.59188904524615,-3102.0863407454726,9903.50290833469,57258.347440982325,4,-0.00143410462992144,geometric,-81.30592650383764,1966.5792508965214,2047.885177400359,inter_wave
2019-2023,Q3,2019,2023,2039,0.14417497396220802,17429.92129607433,10386.346339489504,7043.574956584828,72039.86970867797,0.097773288389725585,3566.188960128051,1456.9638919371562,-1179.9703510043098,-6571.764422882555,20158.503217895992,225549.41529232715,4,0.023595021139226846,geometric,1760.893739146207,4357.480324018583,2596.586584872376,inter_wave
2019-2023,Q4,2019,2023,2110,0.14417497396220802,18965.05519272969,12383.648703950108,6581.406488779584,85893.19188776953,0.07662314490977394,9833.28151868661,5683.501549178947,-2848.3722103488963,-14396.730888525928,20693.375223738956,533036.1256198167,4,0.018628746110344707,geometric,1645.351622194896,4741.263798182423,3095.912175987527,inter_wave
2019-2023,Q5,2019,2023,2840,0.14417497396220802,157903.2409894126,16824.397870237543,141078.84311917506,116694.3014302028,1.2089608608999398,88571.38030645416,101279.20993173998,-17390.632337327963,-39396.86416567704,24840.14725422347,2051559.1936684789,4,0.21912154165925934,geometric,35269.710779793764,39475.81024735315,4206.099467559386,inter_wave
1999-2023,Q1,1999,2023,2730,0.6248113492303049,5295.0937019679295,11975.091786074054,-6679.998084106124,19165.931926214173,-0.34853500001059523,183.78924697100751,-144.18385796179226,29.525016319490003,-677.546957861385,5903.510254500609,-2310.9758001950772,24,-0.017697018994304314,geometric,-278.33325350442186,220.62890424866373,498.9621577530856,full_span
1999-2023,Q2,1999,2023,3026,0.6248113492303049,14230.791366813071,19249.300885162054,-5018.509518348983,30808.18059543086,-0.16289535510880754,1052.2759972375184,338.59234876320977,208.17636648760777,-3821.233993813811,16452.980648138546,21888.33783109019,24,-0.007381215390500961,geometric,-209.10456326454096,592.949640283878,802.054203548419,full_span
1999-2023,Q3,1999,2023,3230,0.6248113492303049,27516.061621079632,25177.999053247284,2338.062567832347,40296.96176976244,0.05802081509744873,3277.1122497857027,1462.9102462235096,563.5843081084125,-9633.807614274298,31846.262431236304,77385.02517170805,24,0.0023527637169495907,geometric,97.41927365968114,1146.5025675449847,1049.0832938853034,full_span
1999-2023,Q4,1999,2023,3100,0.6248113492303049,22299.101250684475,28743.720848194735,-6444.6195975102555,46003.83921259378,-0.14008873406691694,9369.245256129496,6171.272879901333,1527.3756128581767,-21516.109599533855,26747.31710132932,179131.00607950997,24,-0.00626885464894178,geometric,-268.52581656292733,929.1292187785198,1197.6550353414473,full_span
1999-2023,Q5,1999,2023,3847,0.6248113492303049,165165.6420109892,38046.66031565314,127118.98169533606,60893.036534183026,2.087578300089803,88560.25547342053,105842.06455775742,7653.739566319862,-63506.92349519942,26616.505908690804,656937.6188632454,24,0.04809524134550225,geometric,5296.624237305669,6881.901750457883,1585.2775131522142,full_span
