year,age_band,housing_status,n,w_sum,mean_nw,median_nw,mean_inc,mean_STK,mean_BND,mean_LIQ,mean_BUS,mean_HOUS,mean_DBT,debt_asset,mean_IG,mean_IT,mean_NIG,nig_over_inc
2023,<35,owner_mortgage,691,1189736.2302,616611.5675890811,339100,102653.44199800429,38232.061553563166,13004.859916996069,56565.1649835194,105312.1335425341,661108.6941501843,338912.5801034591,0.3546876140408241,88820.00469212412,3834.0337918485957,84985.97090027551,0.8278920730386006
2023,<35,owner_free_clear,171,258016.7747,1627204.404231009,999350,103123.29306260993,93850.70031103007,32008.016559065738,146456.5009611152,211097.60351285213,1122305.0683808892,43213.3198933732,0.025869768543090157,164622.10006053981,3851.582398342171,160770.51766219764,1.5590126429010367
2023,<35,renter,772,1777722.6711,103132.47914313276,31250,97783.11982025513,12564.288234813515,4656.046597003724,32144.267359616784,23392.29987350444,24798.991943609017,17386.815621800844,0.14426582611284686,19755.136919320266,3652.130687157348,16103.006232162921,0.16468083920582058
2023,35-44,owner_mortgage,1359,1724028.4491,823272.8960795876,481750,117761.61289042413,61995.773540202434,32769.04659448908,64175.68058891542,155220.089084601,805391.2263566313,380077.26556615176,0.3158492662238448,136791.1564176655,4398.313338711595,132392.84307895394,1.1242444785648784
2023,35-44,owner_free_clear,223,226888.248,1446994.0555726052,1032250,199653.67314700497,118366.40433552228,58549.34731347674,137681.72000515208,175747.80509330524,996812.6364665217,109810.16753356702,0.07053563055890946,175290.79550757297,7456.924138278709,167833.87136929427,0.84062501192110906
2023,35-44,renter,637,1146311.7767,195232.4215689212,28150,133098.2999529271,21211.049586866484,9648.610120851019,36290.58272714154,63188.02343217957,57863.7141862053,31502.6597542226,0.13894038615632165,46845.01601754966,4971.127803654589,41873.88821389507,0.3146087382686677
2023,45-54,owner_mortgage,1445,1509005.7899,1026500.343498943,585005,132541.9416105764,110619.85781439305,52959.01396404721,92809.76422698215,138132.68922794974,900639.7799670149,357264.78885639465,0.25818311251150416,160732.98949997695,4950.3482112373085,155782.6412887396,1.175346002901082
2023,45-54,owner_free_clear,554,481806.9237,1781016.797824681,1160000,137480.93336846543,247101.40383402703,115066.64275448327,190374.87874664195,208084.30350002772,1004825.6927334293,89959.47910154429,0.04808157121550263,281375.73055874684,5134.81607640423,276240.9144823426,2.0093034554979616
2023,45-54,renter,497,733499.8307,185733.98596099907,24000,65958.45185763926,31728.954710164853,14923.265314776352,48076.52975520035,67695.66494048,25654.49667963502,25580.722370617994,0.12105509631858687,56333.73991367172,2463.501742933511,53870.23817073822,0.8167298754526333
2023,55-64,owner_mortgage,1368,1052460.6023,1030554.4956057783,654100,113626.25395266306,99411.0709526071,38611.102761943366,149021.61572224586,118763.44618050697,848516.1228241399,290789.8111451901,0.22007118784975005,133687.7522434873,4243.860593628703,129443.89164985859,1.1392075963692792
2023,55-64,owner_free_clear,1697,1165102.1165,1730751.0291659855,1107500,101983.15074036688,286403.34065311716,104354.05346954938,259284.25214727825,155890.34769135277,907125.9234124883,51937.75205881449,0.029134503232319975,265579.62509812426,3808.998885252746,261770.62621287152,2.56680269546975
2023,55-64,renter,583,863108.9077,224719.09107357368,19050,52206.16323382836,62022.339282407855,17803.260126517183,50738.875433727546,34867.07122072667,58430.734931331775,25330.032575356658,0.1013002253545991,56397.33292158259,1949.863444278401,54447.469477304185,1.0429318322711658
2023,65+,owner_mortgage,969,668657.5481,983847.8314756609,578000,76038.4839017306,108797.74966644323,39976.208656769624,133394.54894991848,94334.23497249908,710362.5394316685,181746.11119244614,0.15592575127528507,123359.99345870157,2839.983843560144,120520.00961514143,1.584987014876535
2023,65+,owner_free_clear,4136,2641379.7889,1437131.4235949765,896750,76525.06496786204,240607.75617561542,81126.75519573993,234090.51702145181,79978.75749068431,749969.9849806809,18505.029755899675,0.012712672668578121,192804.66825121708,2858.1573038329902,189946.51094738411,2.4821476600791557
2023,65+,renter,1139,1413196.3476,205038.98410969507,30400,41568.828612411286,51109.3941335134,21235.415963586067,69109.02323136138,26005.18812007861,15774.175617010349,5654.077421363129,0.026835612811718833,46805.00155409705,1552.5664847229,45252.43506937416,1.0886146321636556
