year,n,mean_nw,mean_inc,mean_IG,mean_IT,mean_NIG,nig_over_inc,mean_ig_stk,mean_ig_bus,mean_ig_bnd,mean_ig_liq,mean_ig_dbt,debt_asset
1999,15933,186551.27288132292,39429.762253452915,23036.908615355125,656.4064755657249,22380.5021397894,0.5676042882513073,10211.816376842637,7859.0338560895525,4666.013698900094,-273.1089205894633,573.1536041123106,0.15580060786788405
2005,5267,277122.8611208088,49232.7287843117,53550.97556471327,962.0188383141402,52588.956726399134,1.0681706666472022,21089.816654585975,21228.782845285583,10623.820269444914,-435.8390312522957,1044.3948266491022,0.16168506087742954
2012,12003,413555.0232521301,62820.95660152813,81326.72497947379,970.1644362170283,80356.56054325674,1.2791362133015027,37045.108960807724,27043.419850645743,16376.323339729133,-473.4265733109542,1335.29940160213,0.17292225287167612
2016,12429,505771.8555224116,69461.71983995462,98342.67971508046,1087.662392447192,97255.01732263327,1.4001239466387623,46087.23471265271,30754.183084442153,20363.076523059313,-549.5383798451335,1687.723774771416,0.1756705446506302
2019,10422,571872.8666262622,74205.90113177555,64539.54277307106,334.5688903936173,64204.97388267744,0.8652273323743032,29655.092669224676,20540.52154551197,14001.521086828689,-158.07152182921362,500.4789933349327,0.1625534989192006
2023,16241,824304.00270461,96925.21173009287,158418.6942150628,3620.0884239466673,154798.6057911161,1.597093295211807,74626.76754159761,47695.013265621354,32794.86416957219,-1861.4072530977087,5163.456491369334,0.14362631174824664
