period,wealth_q,year0,year1,n,infl_cum,mean_IG,mean_IT,mean_NIG,mean_inc,nig_over_inc,mean_d_stk,mean_d_bus,mean_d_bnd,mean_d_liq,mean_d_dbt,mean_nw0
2012-2016,Q5,2012,2016,3116,0.05883734586024669,7416.583203977178,6363.690881381843,1052.8923225953333,108157.34102787692,0.009734820702775567,0,0,5898.418759468688,-6011.529357527372,7529.69380203586,1481273.3367908162
2016-2019,Q1,2016,2019,1910,0.04363354037267086,374.7523963869358,1387.125012545096,-1012.3726161581604,31790.338365802167,-0.03184529225543571,-467.8748864625538,-12.166415501156603,-13.178262871639948,-73.85517325277142,941.8271344750575,-5743.009029273892
2016-2019,Q2,2016,2019,2178,0.04363354037267086,-2438.0881897528498,2208.1543654802845,-4646.242555233134,50606.81179250184,-0.09181061581756361,-4128.715715209554,-691.3296518732471,-106.28952342773934,-326.7953305916647,2815.0420313493555,42351.871170367056
2016-2019,Q3,2016,2019,2512,0.04363354037267086,-11764.571980068868,2955.6014030508977,-14720.173383119765,67736.91471760768,-0.21731390401360237,-14284.310692051171,-2305.970072852192,-360.8190216613254,-750.6140738366859,5937.141880332507,194379.8638962498
2016-2019,Q4,2016,2019,2576,0.04363354037267086,-43001.5827679025,3486.7103149958866,-46488.29308289839,79908.94814438962,-0.5817657992306123,-39047.24677608477,-7492.500582864133,-968.2306191684969,-1521.2429691240036,6027.6381793389055,473488.07158898574
2016-2019,Q5,2016,2019,3253,0.04363354037267086,-363943.9406251427,5118.395545093665,-369062.3361702364,117304.15412954862,-3.146200054966941,-200673.23323425584,-162061.14322009348,-4022.297356105556,-4984.944344492006,7797.677529804135,1824605.7549994874
2019-2023,Q1,2019,2023,1662,0.14417497396220802,4843.436635812706,5712.832462804376,-869.395826991668,39624.300291546126,-0.02194097613320264,2057.9469276808095,-1217.7713718601788,-127.23547398026065,-302.1266140768343,4432.623168049171,-7327.268988996271
2019-2023,Q2,2019,2023,1771,0.14417497396220802,23835.64144026871,8191.540709601436,15644.100730667278,56816.66161943369,0.2753435398132638,14826.930877983648,1403.1638385228287,-871.0241566276388,-1426.9320279448143,9903.50290833469,57258.347440982325
2019-2023,Q3,2019,2023,2039,0.14417497396220802,61361.82689256523,10386.346339489504,50975.48055307572,72039.86970867797,0.7076009542939967,39909.04460902382,6220.366528192242,-2390.4432809924697,-2535.6441815543535,20158.503217895992,225549.41529232715
2019-2023,Q4,2019,2023,2110,0.14417497396220802,133695.18402311663,12383.648703950108,121311.53531916653,85893.19188776953,1.4123533268815487,99407.76008406965,24265.160581595523,-5670.581686747219,-5000.530179540291,20693.375223738956,533036.1256198167
2019-2023,Q5,2019,2023,2840,0.14417497396220802,928232.6290882189,16824.397870237543,911408.2312179813,116694.3014302028,7.810220551027617,512365.7731817996,432401.7986633291,-25360.792607740404,-16014.29740339301,24840.14725422347,2051559.1936684789
