year,age_band,housing_status,n,mean_NIG,mean_inc,mean_nw,mean_LIQ,mean_resources,mean_coh,nig_over_nw,nig_over_inc,nig_over_resources,nig_over_coh,share_w_resources_le0,share_w_coh_le0,share_w_nw_le0
2023,<35,owner_mortgage,691,84985.97090027551,102653.44199800429,616611.5675890811,56565.1649835194,719265.0095870855,159218.60698152368,0.13782740280492337,0.8278920730386006,0.11815668740658485,0.5337690896274303,0.004242281836833315,0,0.00854517139340286
2023,<35,owner_free_clear,171,160770.51766219764,103123.29306260993,1627204.404231009,146456.5009611152,1730327.6972936192,249579.79402372515,0.09880167312979664,1.5590126429010367,0.09291333538361347,0.6441647982404968,7.725207023138561e-4,0,7.725207023138561e-4
2023,<35,renter,772,16103.006232162921,97783.11982025513,103132.47914313276,32144.267359616784,200915.5989633879,129927.38717987192,0.1561390394757631,0.16468083920582058,0.0801481135125666,0.12393850581994591,0.02845363437295931,0.00138490088472383,0.16713303083216782
2023,35-44,owner_mortgage,1359,132392.84307895394,117761.61289042413,823272.8960795876,64175.68058891542,941034.5089700117,181937.29347933954,0.1608128285400947,1.1242444785648784,0.14068861642902084,0.7276839209108507,0.004317085372857609,0,0.01997753814212276
2023,35-44,owner_free_clear,223,167833.87136929427,199653.67314700497,1446994.0555726052,137681.72000515208,1646647.72871961,337335.3931521571,0.11598794806581217,0.84062501192110906,0.10192457587743887,0.49752820123915026,0,0,0
2023,35-44,renter,637,41873.88821389507,133098.2999529271,195232.4215689212,36290.58272714154,328330.72152184835,169388.88268006864,0.21448224571200483,0.3146087382686677,0.12753569943076018,0.24720564627009148,0.03600672089300363,0.003530674884673371,0.16926050150035066
2023,45-54,owner_mortgage,1445,155782.6412887396,132541.9416105764,1026500.343498943,92809.76422698215,1159042.2851095195,225351.70583755855,0.15176092465564772,1.175346002901082,0.13440634849143532,0.6912867187303797,0.0028685602328184946,2.75199739311484e-4,0.010485139888726678
2023,45-54,owner_free_clear,554,276240.9144823426,137480.93336846543,1781016.797824681,190374.87874664195,1918497.7311931467,327855.8121151074,0.1551029248122426,2.0093034554979616,0.1439881371715481,0.8425683006813885,0.0012200517906339086,0,0.0012200517906339086
2023,45-54,renter,497,53870.23817073822,65958.45185763926,185733.98596099907,48076.52975520035,251692.4378186383,114034.98161283962,0.29003974631788737,0.8167298754526333,0.21403200921576926,0.47240098966853145,0.03589855607038247,0,0.1875715744456272
2023,55-64,owner_mortgage,1368,129443.89164985859,113626.25395266306,1030554.4956057783,149021.61572224586,1144180.7495584413,262647.8696749089,0.1256060617869307,1.1392075963692792,0.11313238026405634,0.4928419629295951,0.0032109087908990704,3.974305537764642e-5,0.01442255155853638
2023,55-64,owner_free_clear,1697,261770.62621287152,101983.15074036688,1730751.0291659855,259284.25214727825,1832734.1799063524,361267.4028876452,0.15124684128543525,2.56680269546975,0.1428306565583053,0.7245896643885212,2.774604006137345e-4,0.0019669398652233934,2.774604006137345e-4
2023,55-64,renter,583,54447.469477304185,52206.16323382836,224719.09107357368,50738.875433727546,276925.25430740207,102945.03866755591,0.24229125000989757,1.0429318322711658,0.19661431606690713,0.528898431454607,0.03407759083193621,0.006872090239232738,0.15924922506740571
2023,65+,owner_mortgage,969,120520.00961514143,76038.4839017306,983847.8314756609,133394.54894991848,1059886.3153773916,209433.03285164904,0.12249862810021647,1.584987014876535,0.1137103176695211,0.5754584554983322,0.001961795247398928,0,0.0066874362111160315
2023,65+,owner_free_clear,4136,189946.51094738411,76525.06496786204,1437131.4235949765,234090.51702145181,1513656.4885628384,310615.5819893139,0.13217059193670258,2.4821476600791557,0.12548851894905916,0.6115163628652694,2.051173792866906e-4,0,2.051173792866906e-4
2023,65+,renter,1139,45252.43506937416,41568.828612411286,205038.98410969507,69109.02323136138,246607.81272210635,110677.85184377265,0.22070161567501856,1.0886146321636556,0.18349960031626222,0.40886622133984174,0.015235377402839248,0,0.06692378880020254
