year,tenure,n,w_sum,mean_tc001,median_tc001,mean_hhtotinc,median_hhtotinc,mean_cy_ratio,mean_share_necessities,mean_share_shelter,mean_share_discretionary,mean_share_food,mean_share_health,mean_share_clothing,mean_share_transport,mean_shelter_over_inc,mean_mortpay_over_inc,mean_cy_ratio_at
2017,owner_mortgage,1470,5356911.6945,81356.29304639305,74362.34,108219.30442733706,95800,1.0502347886856915,0.5207038628059394,0.3579537433916208,0.4792961371940606,0.12697571232005475,0.035774407094263834,0.04667655254047409,0.18361086929996448,0.38237375570565385,0.20966837474889996,1.1835065347002065
2017,owner_free_clear,1412,4171813.6445,59300.28782603967,50126.38,94201.47418117133,74475,0.8279517945107943,0.4427993503314782,0.22041988350510328,0.5572006496685218,0.1614512783331766,0.06092818849319835,0.04752049390107185,0.19875023661690033,0.18737652657660694,NA,0.9270889525864694
2017,renter,1130,4935533.4932,46328.951613633624,40313.42,51281.89090941878,40000,1.5095560194982804,0.5378227749009902,0.33692809730274553,0.46217722509900977,0.15743046148910944,0.04346421610913514,0.052604310293466315,0.15041698344274185,0.46086343294403054,NA,1.576321040177205
2019,owner_mortgage,3035,5653968.5355,90478.33382454708,82892.99,122959.66232514066,112500,2.0139968560478048,0.5274650278515557,0.34600389039191654,0.4725349721484443,0.14393974030027223,0.03752139715936689,0.04285500963028574,0.17359409972668444,0.5662550885194649,0.2817114608477024,2.1509459973729292
2019,owner_free_clear,2793,4232779.27,62869.77485064416,52768.74,96216.23031948227,74000,1.0528903096739357,0.46840028855988747,0.23140269144846168,0.5315997114401126,0.1762404281858774,0.060757168925548374,0.042143126999191004,0.18238839692000036,0.2720047284509192,NA,1.1516382820907223
2019,renter,2102,4842752.3845,47146.50317413557,40127.81,55039.89200858552,45500,5.51804681754262,0.559755258853153,0.34747513108471817,0.4402447411468471,0.17190299520056151,0.04037713256787329,0.04756365987888215,0.13460348269845648,1.1990006258918975,NA,5.587689102157012
2023,owner_mortgage,1993,5760035.8618,101944.72438436905,95011.56,144406.7320789886,131234,1.2527924774677632,0.5640787579935492,0.3818844546937202,0.43592124200645077,0.14600769242831804,0.03618661087151092,0.030910922565173624,0.14071874120298017,0.547586953109705,0.31926857413305615,1.1699768919882296
2023,owner_free_clear,2369,4687620.7347,63217.62161849418,53740.59,109343.40741890892,87295,0.9614102914497846,0.48533303025147795,0.24226211133305262,0.514666969748522,0.18157362808520777,0.06149729083321762,0.029013822767925107,0.16197149166222086,0.22513503702763799,NA,1.0441336024875256
2023,renter,1123,5201809.7449,58705.95368247095,52004.05,72874.41072500909,61217,1.5527845030377727,0.5601128775503653,0.3425324770353686,0.4398871224496347,0.17671523445991008,0.040865166055086666,0.038378379221692134,0.13717757548278162,0.5242535464822249,NA,1.6359785327031537
