year,wealth_detail,n,mean_nw,mean_inc,mean_IG,mean_IT,mean_NIG,nig_over_inc,mean_ig_stk,mean_ig_bus,mean_ig_bnd,mean_ig_liq,mean_ig_dbt,debt_asset
1999,P0-20,2730,-2310.9758001950772,19165.931926214173,319.74633498994586,319.06461281077463,0.681722179171244,3.556947722634972e-5,143.8799097713648,-49.8644835229661,80.14670152847745,-11.70905176362823,157.29325897669793,1.3237797848254018
1999,P20-40,3026,21888.33783109019,30808.18059543086,1983.3622554820888,512.8788023942042,1470.4834530878848,0.04773029191168696,930.700085185305,117.09863250003713,554.8333687860937,-57.64341457943346,438.3735835900865,0.5460833912725762
1999,P40-60,3230,77385.02517170805,40296.96176976244,5525.244661685495,670.8431687025999,4854.401492982895,0.12046569467739585,2743.6420456262877,505.9322513600724,1556.830285727543,-129.672447997852,848.5125269694441,0.39709891326091096
1999,P60-80,3100,179131.00607950997,46003.83921259378,13564.669212854618,765.8483397877087,12798.820873066908,0.27821201647803273,7077.983219072944,2134.270362755262,3916.0195532136313,-276.260035987287,712.6561138000679,0.19288410923141536
1999,P80-90,1503,333149.27378033905,53651.26897309549,31501.22115263866,893.1588313894623,30608.0623212492,0.5705002492410427,15848.88679297751,6848.565717188869,8658.032857225493,-496.24416579746503,641.9799510442518,0.10374463872062233
1999,P90-95,881,540546.8914281598,58803.67360018597,61644.04851157344,978.9334231868255,60665.11508838662,1.0316551904708682,30820.81158613156,14196.264590861638,16978.27420665373,-1012.9776168457726,661.6757447722911,0.06849345196037991
1999,P95-99,1005,999810.5247891439,72068.77558407438,146325.50992648595,1199.7640430950544,145125.7458833909,2.0137118288361835,70505.82606621347,45003.34746359767,31575.39820486263,-1570.4129240610248,811.3511158731977,0.04648062482055874
1999,P99-100,458,3124985.440223224,99352.06611686232,672797.7854209659,1653.962282114229,671143.8231388516,6.755207509720254,210337.94584624583,415717.10493495635,47036.143161133194,-1507.2556138902937,1213.8470925207414,0.022800815567944117
2005,P0-20,859,-4847.4782861181575,22867.829859317593,1084.2362749987724,446.8426524234488,637.3936225753237,0.0278729388182681,251.73332893967773,346.26536598275004,158.57798066672106,-16.57670963107856,344.23630904070217,1.379619109250706
2005,P20-40,964,25710.494426166337,35553.527615228486,3909.8095365162912,694.7241028263062,3215.0854336899847,0.09042943553969258,1951.430737435319,286.7148802806605,1175.7187594638451,-89.50673983069409,585.4518991671606,0.538177885138174
2005,P40-60,1021,105856.01242653315,48005.91511707812,11288.129421658397,938.0466172302654,10350.082804428132,0.21560015633877763,5534.067796754791,1318.4100600246973,3273.9882787074926,-218.04872893668627,1379.7120151081028,0.40012960004343345
