year,age_band,n,w_sum,mean_nw,median_nw,mean_inc,mean_STK,mean_BND,mean_LIQ,mean_BUS,mean_HOUS,mean_DBT,debt_asset,mean_IG,mean_IT,mean_NIG,nig_over_inc
1999,<35,3502,3112776,66844.65088011473,12600,32069.316466716526,6183.423636619342,2528.2425809536226,10217.94154411628,12715.9228126277,59077.2739644613,35734.28404678011,0.3483588913478868,6693.948569366985,533.8735460895618,6160.075023277423,0.19208625882845742
1999,35-44,3770,3016982,154738.28028241466,69000,44156.894502519404,14821.692934343495,7733.215924044217,20899.048550705214,33555.80507474025,107378.21996418938,49047.11718996003,0.24068023419886544,16885.15719999239,735.1013507515646,16150.055849240827,0.36574256480648504
1999,45-54,3139,2395022,255760.9408080594,128650,51273.37844495792,39236.97118570395,14715.231338807685,35524.8731804297,41202.30756418939,146318.28765539522,45539.23902870203,0.15114242232903513,28006.49470660829,853.5729284661137,27152.921778142176,0.5295715359831593
1999,55-64,2151,1459105,308084.7352191926,163700,42463.13070341065,45093.60133476271,22257.43128286371,54284.49654716981,38752.958667128136,150853.85762230956,26679.753072602725,0.0796970825930243,30583.769747513714,706.9044390211009,29876.86530849261,0.7035954441788932
1999,65+,3371,2231733,242790.24330553878,149200,28612.169681588253,32260.767559295684,17617.37954354849,57563.86758260431,14377.857322090053,110829.44176117842,5989.231945308869,0.024074461686478945,17941.078550322152,476.32073808244024,17464.75781223971,0.6103961358609644
2005,<35,1006,3332914.857,66784.47116927647,11000,37382.124072218685,5256.796212534387,5616.133562004548,11098.766063492638,5395.454987888339,75371.2173423472,47138.22084802468,0.4137737619548695,8514.734664257183,730.4552979628965,7784.279366294287,0.20823534134271782
2005,35-44,1092,2912073.6863,267262.30596593773,101400,58655.84277308556,23550.34145129836,12837.449328658508,21069.433760700005,54059.26531485186,221648.89562065678,90199.7679237884,0.25233381248611625,44774.809563082716,1146.1486518878828,43628.66091119483,0.7438075875914955
2005,45-54,1145,2761769.9726,362682.5619907212,158450,61814.24518065871,42276.969909345964,20203.68267462489,50768.182909278294,78894.44180404423,211746.72633407393,66698.4507952258,0.1553362836480988,68186.01928737195,1207.8645610013816,66978.15472637056,1.083539150734912
2005,55-64,894,1939088.6024,432860.12041861203,220400,54116.71696520333,46340.325710452475,21295.868707452522,74716.57851336028,81335.1423652556,224116.90732262013,43896.48970126941,0.09207316431382367,70919.49238511833,1057.4530901246665,69862.03929499365,1.2909511739212571
2005,65+,1130,2401809.6136,356841.9403438271,200000,35842.20623528755,47292.77343613058,22551.728493755134,75901.43557747098,16313.781265120922,184345.76065015528,10121.716614191506,0.027582340709421938,40079.57939406438,700.3649494251615,39379.21444463922,1.098682770422469
2012,<35,1978,3329251.2435,128191.53923988559,13925,47856.541840274156,9604.332986711568,3742.8162135523776,18500.034509194327,26020.61830434243,142469.73425267867,85230.00238731598,0.3993505141865821,20714.41631926005,739.0641188140838,19975.352200445966,0.41740066106564155
2012,35-44,1858,2688556.4944,316265.9003060539,136250,71390.77081158172,27810.931394174488,14049.022991335027,33737.42861204142,47560.341912110984,321907.25093723176,150299.120110489,0.3221397094370769,46510.248208323566,1102.5108604257143,45407.737347897855,0.6360449233380648
2012,45-54,2494,2867643.3438,522928.9784395598,250250,82322.50579793406,59793.993004422635,27724.690024533375,65311.413317667706,88835.38962090136,362681.35296234273,107132.42631223815,0.17003489739931169,88822.89181151826,1271.3331943035544,87551.5586172147,1.0635191162926416
2012,55-64,2492,2666251.1818,602671.2284983287,302700,67854.59887251104,88731.2358014788,35905.85410883342,99207.87130380436,81513.01503686205,342880.0703241999,72146.04378939306,0.10691196973190716,102657.1278819568,1047.9006086685558,101609.22727328824,1.4974552788116435
