period,income_q,year0,year1,infl_cum,hp_ratio,n,mean_inc,mean_nw0,mean_d_stk,mean_d_bus,mean_d_bnd,mean_d_liq,mean_d_dbt,mean_d_hous,mean_d_total_no_hous,mean_d_total
2012-2016,Q1,2012,2016,0.05883734586024669,1.041078089041366,1848,13426.463135709546,101514.88746752251,819.8593507992974,1639.6267325490971,159.94765354730865,-980.6499450478439,1186.5629365018465,2828.7319304435746,2825.346728349706,5654.078658793281
2012-2016,Q2,2012,2016,0.05883734586024669,1.041078089041366,2315,32269.460416518723,210188.50699624134,2012.9025771275524,2724.628426145792,413.29447412673494,-2337.6520571622527,2284.1425800006714,5882.436013093121,5097.316000238498,10979.75201333162
2012-2016,Q3,2012,2016,0.05883734586024669,1.041078089041366,2330,50760.18437946352,320867.7905521996,4965.299070983305,3657.4478900388935,648.3680463461202,-3102.6346302104794,4514.262756269017,9811.984322717128,10682.743133426857,20494.727456143984
2012-2016,Q4,2012,2016,0.05883734586024669,1.041078089041366,2557,75391.0421217229,480494.79036023933,5849.998480537341,8606.28571596899,1218.50761560671,-4444.678438476886,7120.592982473502,14588.238721902422,18350.706356109655,32938.945078012075
2012-2016,Q5,2012,2016,0.05883734586024669,1.041078089041366,2953,142329.98831763797,955166.2363587453,20052.380448163633,17903.44112327815,3062.7683469445783,-7413.186699114229,10336.458580517054,24398.073989268494,43941.861799789185,68339.93578905768
2016-2019,Q1,2016,2019,0.04363354037267086,0.9416774949078901,1952,14887.358682643271,133241.98687214582,-2303.8911713409498,-3220.204716774778,-144.1931845302249,-946.5139973669986,1146.8188598550585,-5537.691591735398,-5467.984210157893,-11005.67580189329
2016-2019,Q2,2016,2019,0.04363354037267086,0.9416774949078901,2308,35448.28887707125,280726.8661991011,-5697.418830896398,-5140.92483340749,-350.77935845545056,-2179.378115602533,2104.3485568818724,-11940.687648154073,-11264.152581479997,-23204.840229634072
2016-2019,Q3,2016,2019,0.04363354037267086,0.9416774949078901,2459,55869.94444394035,395507.49320050597,-9336.563765077077,-12404.815837371003,-497.56951490141824,-3122.617224261212,3629.311256032804,-16607.817811414032,-21732.255085577908,-38340.07289699194
2016-2019,Q4,2016,2019,0.04363354037267086,0.9416774949078901,2612,82949.38275335124,547578.594237693,-17208.740575010183,-16894.430274201222,-796.0061109384517,-3786.8869817314935,6364.757143797422,-24603.504983755756,-32321.306798083933,-56924.811781839686
2016-2019,Q5,2016,2019,0.04363354037267086,0.9416774949078901,3098,158253.4875165634,1172497.504751478,-58289.313175576404,-51418.90446506714,-1828.8903175573619,-6761.7690649870865,10277.013369772887,-43916.22384848615,-108021.86365341509,-151938.08750190126
2019-2023,Q1,2019,2023,0.14417497396220802,0.8913700848481313,1599,16773.850423836946,208184.2057483703,4080.953531085183,8397.04568575856,-1078.4595124850848,-4977.420650005232,3912.889403124581,-14177.356862647965,10335.008457478005,-3842.348405169959
2019-2023,Q2,2019,2023,0.14417497396220802,0.8913700848481313,1815,37973.009943061494,325013.935383703,6302.603570923365,9203.771184528709,-1521.8029802046558,-8629.2521405166,6349.819841700432,-23968.283113476853,11705.139476431248,-12263.143637045605
2019-2023,Q3,2019,2023,0.14417497396220802,0.8913700848481313,2001,60357.310992266444,474900.4147464156,13011.284249613078,19291.122603604603,-3523.5010934472966,-11864.385897351332,12314.98628527631,-33363.49764478245,29229.506147695363,-4133.991497087087
2019-2023,Q4,2019,2023,0.14417497396220802,0.8913700848481313,2262,90703.99025480424,643932.5985391173,20996.611231104984,23627.511156598866,-4689.802180309747,-15224.94259159735,23215.03487602251,-52104.91357136046,47924.41249181927,-4180.501079541195
2019-2023,Q5,2019,2023,0.14417497396220802,0.8913700848481313,2745,165266.72374406247,1207638.245136326,58807.19373634992,47939.55164063239,-11020.652950358553,-23299.478534569873,34238.9862330359,-85293.97968650988,106665.60012508977,21371.620438579906
