year,n,share_pbo_mix,mean_sh_stk_reg,mean_sh_bnd_reg,mean_sh_liq_reg,mean_reg_total
1999,15933,0.9023932313535017,0.17923336148019015,0.13385981776832362,0.6869068207514862,33888.04039165272
2005,5267,0.8910615524652457,0.19184956686861102,0.13447973814651099,0.673670694984878,44430.695872043136
2012,12003,0.9453749647945296,0.16713949383671484,0.11215882542223035,0.7207016807410549,70270.55413270695
2016,12429,0.9483746368631966,0.16300365804210906,0.10618745692973669,0.7308088850281542,88972.79620597836
2019,10422,0.9548833364032799,0.15915347327890142,0.09879745976130021,0.7420490669597984,106385.47626685245
2023,16241,0.9529634292559536,0.1853517284929124,0.10432534713173694,0.7103229243753508,142640.6663688411
