year,province,n,w_sum,mean_nw,median_nw,mean_inc,mean_STK,mean_BND,mean_LIQ,mean_BUS,mean_HOUS,mean_DBT,debt_asset,mean_IG,mean_IT,mean_NIG,nig_over_inc
2023,AB,1324,1818740.0012,782226.3202380104,335250,100539.26831689129,131321.01965906215,48545.64346030752,116771.80049601672,127868.4672047095,441657.7504857597,151178.05249101456,0.1619641571305375,155152.61445246908,3755.0708932116286,151397.54355925744,1.505854837555264
2023,BC,2634,2417700.0005,1099500.7494527996,620825,86790.86353383157,127513.00904120173,43003.48549424428,127742.03685409787,66653.61950908722,825076.237043325,170634.77502781284,0.1343437544569028,120187.07059708795,3241.5776532743976,116945.49294381354,1.3474401357722121
2023,MB,1181,566784.0022,550228.6954070923,247200,139096.3142748991,69929.72025742386,32057.018956098134,118806.52060932644,82029.68649507077,295254.30274800106,101159.63604344123,0.155298508062273,91349.11413895307,5195.149416050982,86153.96472290208,0.61938351977202
2023,NB,680,376429.0011,341523.6868045792,189500,70609.09203919597,30423.79766521133,12880.073299577653,84577.58810295127,27799.031342853672,210723.7226348897,68702.58127587316,0.16747484649715172,34958.53082464203,2637.199879720429,32321.3309449216,0.4577502699932699
2023,NL,556,242206.9991,461014.45874229696,195825,79384.06349348143,63719.30185706884,36809.954249262,91264.45049423537,50676.5955579543,257640.31316813215,83605.54971749576,0.1535117116867146,75316.8712799045,2964.938886064624,72351.93239383989,0.9114163373582032
2023,NS,997,474640.9975,454278.80388089205,240150,71738.99838597486,61084.71792917515,25247.4359121627,86109.34120024143,21206.929934983124,284001.7833795257,78459.71991477201,0.14727622728643858,53483.833918388715,2679.4010863322715,50804.432832056445,0.7081843066544519
2023,ON,4137,6383578.0019,995743.9208502265,531050,90548.47339744975,124031.34895673474,49065.73561868628,122036.92960110358,116142.49948623424,688740.2584627714,170735.1466090804,0.14636794724568564,146438.63615312203,3381.921736368813,143056.71441675324,1.579890958391159
2023,PE,407,77403.0003,523858.22346195276,278850,867019.8569665819,51008.56755226057,19994.829052742367,95313.51863954734,50597.77451416828,344271.0510482886,88601.53443309097,0.14466507111847582,60549.89767462985,32382.5812862489,28167.316388380947,0.03248751013261582
2023,QC,3037,3998236.9996,582054.2771817844,266000,80552.46885763675,87769.99962902235,34488.340540627505,98153.5796658951,77488.80689734088,333534.5983511805,89107.00488732629,0.13276541312487508,99535.69033419463,3008.578003872634,96527.112330322,1.1983135178751356
2023,SK,1288,495203.0018,641160.3859305634,241750,231611.19628951003,85673.62724992944,38222.96005552177,117997.7736587991,160065.31759407744,288948.35014558263,97712.48157202305,0.13224532374871786,141223.3110709226,8650.515129942973,132572.79594097962,0.5723937273536029
