period,year0,year1,mean_d_stk,mean_d_bus,mean_d_bnd,mean_d_liq,mean_d_dbt,mean_d_hous,mean_d_total_no_hous,mean_d_total
1999-2005,1999,2005,21844.370864828135,24237.62682712464,1387.6535334389707,-4374.639685907466,4746.565185356435,15443.716772684347,47841.57672484072,63285.29349752507
2005-2012,2005,2012,98381.55560359464,142907.49578223526,2627.2735431056058,-5483.988086361357,6915.439262665182,17127.74373339866,245347.77610523932,262475.51983863796
2012-2016,2012,2016,0,0,1100.3069099441652,-3654.9810749778208,5087.341864753297,11788.548272010632,2532.667699719641,14321.215971730273
2016-2019,2016,2019,-35963.20743913331,-34510.51287551814,-723.249181612041,-3358.7366081441505,4702.9811760685,-21049.65238508285,-69852.72492833914,-90902.377313422
2019-2023,2019,2023,88107.36438618545,92594.17335434958,-4366.046458116299,-12797.801681283227,16004.00294173202,-43014.71443891918,179541.69254286753,136526.97810394835
