year,n,mean_nw,median_nw,gini,p90,p99,p99_med
1999,15933,186551.27288132292,75450,0.697251980713627,436725,1773250,23.50231941683234
2005,5267,277122.8611208088,102750,0.722455133977017,607500,2941000,28.62287104622871
2012,12003,413555.0232521301,163376,0.7099771627497764,979000,4104500,25.1230290862795
2016,12429,505771.8555224116,191500,0.7139954694642392,1211500,4722500,24.660574412532636
2019,10422,571872.8666262622,222900,0.7091600351766122,1358000,5562005,24.952916105877076
2023,16241,824304.00270461,382040,0.6648842709465348,2062500,6553750,17.154617317558372
